Pair,MaxRA,StageGroup,Type
1a,0.38313253,2,Sputum
1b,0.591325301,2,Sputum
1c,0.240481928,2,Sputum
1d,0.481927711,2,Sputum
1e,0.229879518,2,Sputum
2a,0.232289157,1,Sputum
2b,0.319518072,1,Sputum
2c,0.300240964,1,Sputum
2d,0.35373494,1,Sputum
2e,0.663614458,1,Sputum
3a,0.698795181,2,Sputum
3b,0.55373494,2,Sputum
3c,0.643855422,2,Sputum
3d,0.489156627,2,Sputum
3e,0.775421687,2,Sputum
4a,0.277108434,1,Sputum
4b,0.317590361,1,Sputum
4c,0.277590361,1,Sputum
4d,0.234698795,1,Sputum
4e,0.307951807,1,Sputum
5a,0.226987952,1,Sputum
5b,0.213493976,1,Sputum
5c,0.266506024,1,Sputum
5d,0.221686747,1,Sputum
5e,0.231807229,1,Sputum
6a,0.915662651,2,Sputum
7a,0.360481928,2,Sputum
7b,0.511807229,2,Sputum
8a,0.842891566,2,Sputum
8b,0.61253012,2,Sputum
8c,0.432771084,2,Sputum
9a,0.777349398,2,Sputum
9b,0.969638554,2,Sputum
9c,0.243855422,2,Sputum
10a,0.186506024,2,Sputum
10b,0.302168675,2,Sputum
10c,0.29686747,2,Sputum
1a,0.129156627,2,Saliva
1b,0.157108434,2,Saliva
1c,0.215903614,2,Saliva
1d,0.248674699,2,Saliva
1e,0.301204819,2,Saliva
2a,0.293493976,1,Saliva
2b,0.342168675,1,Saliva
2c,0.368192771,1,Saliva
2d,0.255421687,1,Saliva
2e,0.391325301,1,Saliva
3a,0.192289157,2,Saliva
3b,0.176385542,2,Saliva
3c,0.173493976,2,Saliva
3d,0.207710843,2,Saliva
3e,0.196626506,2,Saliva
4a,0.211084337,1,Saliva
4b,0.165301205,1,Saliva
4c,0.191325301,1,Saliva
4d,0.215421687,1,Saliva
4e,0.254457831,1,Saliva
5a,0.269879518,1,Saliva
5b,0.260722892,1,Saliva
5c,0.219759036,1,Saliva
5d,0.223614458,1,Saliva
5e,0.321445783,1,Saliva
6a,0.319518072,2,Saliva
7a,0.228915663,2,Saliva
7b,0.323855422,2,Saliva
8a,0.152771084,2,Saliva
8b,0.318072289,2,Saliva
8c,0.284819277,2,Saliva
9a,0.348915663,2,Saliva
9b,0.56,2,Saliva
9c,0.271325301,2,Saliva
10a,0.138313253,2,Saliva
10b,0.255903614,2,Saliva
10c,0.23373494,2,Saliva
