Group,x,y,Treatment,Subject,Size
1a_d,-0.393386,0.692094,21,1,3
1b_d,-0.73233,-0.018087,21,1,3
1c_d,-0.218729,0.598051,21,1,3
1d_d,-0.419339,0.587132,21,1,3
1e_d,-0.101999,0.331018,21,1,3
2a_d,0.103707,0.158209,21,2,3
2b_d,0.127292,0.195576,21,2,3
2c_d,-0.065379,0.185229,21,2,3
2d_d,0.088398,0.222972,21,2,3
2e_d,0.003478,0.228898,21,2,3
3a_d,-0.682497,-0.17593,21,3,3
3b_d,-0.686513,-0.177192,21,3,3
3c_d,-0.689612,-0.174542,21,3,3
3d_d,-0.661477,-0.188032,21,3,3
3e_d,-0.699681,-0.160837,21,3,3
4a_d,-0.569332,-0.201819,21,4,3
4b_d,-0.552943,-0.17031,21,4,3
4c_d,-0.348735,-0.118521,21,4,3
4d_d,-0.462212,-0.164516,21,4,3
4e_d,-0.401668,-0.119035,21,4,3
5a_d,0.235882,-0.047911,21,5,3
5b_d,0.263244,-0.062401,21,5,3
5c_d,0.257823,-0.113352,21,5,3
5d_d,0.179533,-0.015719,21,5,3
5e_d,0.240316,-0.089766,21,5,3
1a,-0.367177,0.672647,16,1,3
1b,-0.717903,-0.013033,16,1,3
1c,-0.204853,0.576649,16,1,3
1d,-0.418415,0.586167,16,1,3
1e,-0.102033,0.330766,16,1,3
2a,0.082843,0.150987,16,2,3
2b,0.125357,0.204286,16,2,3
2c,0.039433,0.113214,16,2,3
2d,0.095517,0.230045,16,2,3
2e,0.032199,0.233484,16,2,3
3a,-0.678545,-0.17494,16,3,3
3b,-0.682188,-0.175041,16,3,3
3c,-0.689612,-0.174542,16,3,3
3d,-0.652168,-0.185725,16,3,3
3e,-0.698663,-0.160467,16,3,3
4a,-0.386871,-0.147526,16,4,3
4b,-0.425638,-0.140123,16,4,3
4c,-0.348735,-0.118521,16,4,3
4d,-0.379904,-0.130342,16,4,3
4e,-0.401668,-0.119035,16,4,3
5a,0.198572,-0.008325,16,5,3
5b,0.248158,-0.044757,16,5,3
5c,0.239964,-0.046721,16,5,3
5d,0.179533,-0.015719,16,5,3
5e,0.207494,0.002476,16,5,3
SCR311,0.217754,-0.037556,24,6,1.5
SCR312,0.204607,-0.052447,24,6,1.5
SCR313,0.21467,-0.032018,24,6,1.5
SCR314,0.205617,-0.043369,24,6,1.5
SCR321,0.196894,-0.028779,24,6,1.5
SCR322,0.203398,-0.036377,24,6,1.5
SCR323,0.196285,-0.036686,24,6,1.5
SCR331,0.196297,-0.048759,24,6,1.5
SCR341,0.20007,-0.042328,24,6,1.5
SCR342,0.205647,-0.033114,24,6,1.5
SCR343,0.192966,-0.041791,24,6,1.5
SCR344,0.20503,-0.039953,24,6,1.5
SCR351,0.203191,-0.047955,24,6,1.5
SCR352,0.200576,-0.055318,24,6,1.5
SCR353,0.200187,-0.043544,24,6,1.5
SCR354,0.201702,-0.056513,24,6,1.5
SCR361,0.212941,-0.039339,24,6,1.5
SCR362,0.202853,-0.057695,24,6,1.5
SCR363,0.197927,-0.057453,24,6,1.5
SCR364,0.183411,-0.049574,24,6,1.5
SCR371,0.204716,-0.047534,24,6,1.5
SCR372,0.190207,-0.054362,24,6,1.5
SCR373,0.201254,-0.049221,24,6,1.5
SCR374,0.176971,-0.048813,24,6,1.5
SCR381,0.193208,-0.045376,24,6,1.5
SCR382,0.203683,-0.053469,24,6,1.5
SCR383,0.198725,-0.045927,24,6,1.5
SCR384,0.185706,-0.057451,24,6,1.5
SCR391,0.203695,-0.051095,24,6,1.5
SCR392,0.194444,-0.06952,24,6,1.5
SCR393,0.203392,-0.047664,24,6,1.5
SCR394,0.177347,-0.088378,24,6,1.5
SCR401,0.196055,-0.048012,24,6,1.5
SCR402,0.184469,-0.061701,24,6,1.5
SCR403,0.189711,-0.044779,24,6,1.5
SCR404,0.193823,-0.050162,24,6,1.5
SCR411,0.211407,-0.046472,24,6,1.5
SCR412,0.210267,-0.035935,24,6,1.5
SCR413,0.1968,-0.030851,24,6,1.5
SCR414,0.196416,-0.049052,24,6,1.5
SCR421,0.204201,-0.033138,24,6,1.5
SCR422,0.230768,-0.036827,24,6,1.5
SCR423,0.204397,-0.042783,24,6,1.5
SCR424,0.188146,-0.071603,24,6,1.5
SCR431,0.206168,-0.03377,24,6,1.5
SCR432,0.218079,-0.04126,24,6,1.5
SCR433,0.215446,-0.025612,24,6,1.5
SCR434,0.20273,-0.036789,24,6,1.5
SCR441,0.191882,-0.039156,24,6,1.5
SCR442,0.223736,-0.038178,24,6,1.5
SCR443,0.201987,-0.025716,24,6,1.5
SCR444,0.20518,-0.014249,24,6,1.5
SCR451,0.209152,-0.028903,24,6,1.5
SCR452,0.197467,-0.039172,24,6,1.5
SCR453,0.211995,-0.043677,24,6,1.5
SCR461,0.210274,-0.059354,24,6,1.5
SCR462,0.205538,-0.046893,24,6,1.5
SCR463,0.211583,-0.041686,24,6,1.5
SCR464,0.198414,-0.042012,24,6,1.5
